Document Name,Parties,Agreement Date,Expiration Date,Question,Answer,Category
Software License Agreement 1,Software Inc & Business Solutions,2021-06-14,2022-06-14,What is the license fee?,The license fee is $10000 annually.,Software License Agreement
Software License Agreement 2,Tech Innovators & Customer Corp,2021-04-07,2022-04-07,Can the license be transferred?,Transferability: allowed.,Software License Agreement
Non-Disclosure Agreement 3,Tech Innovators & Solutions LLC,2022-06-24,2024-06-23,What are the parties in the Non-Disclosure Agreement 3?,The parties are Tech Innovators & Solutions LLC.,Non-Disclosure Agreement
Service Level Agreement 4,Hosting Corp & Business Solutions,2021-12-16,2024-12-15,What are the support hours?,Support is available 24/7.,Service Level Agreement
Non-Disclosure Agreement 5,Tech Innovators & Solutions LLC,2020-11-04,2021-11-04,What is the confidentiality period?,The confidentiality period is 2 years.,Non-Disclosure Agreement
Software License Agreement 6,Code Masters & Business Solutions,2020-03-26,2021-03-26,What is the term of the license?,The license term is 1 years.,Software License Agreement
Non-Disclosure Agreement 7,Company A & Solutions LLC,2020-08-03,2023-08-03,What are the parties in the Non-Disclosure Agreement 7?,The parties are Company A & Solutions LLC.,Non-Disclosure Agreement
Service Level Agreement 8,Cloud Services Ltd & Customer LLC,2020-07-17,2022-07-17,What are the support hours?,Support is available 24/7.,Service Level Agreement
Software License Agreement 9,Software Inc & Client LLC,2020-11-15,2023-11-15,What is the license fee?,The license fee is $5000 annually.,Software License Agreement
Non-Disclosure Agreement 10,Corp Alpha & Solutions LLC,2020-10-25,2022-10-25,What is the confidentiality period?,The confidentiality period is 3 years.,Non-Disclosure Agreement
Software License Agreement 11,Software Inc & Client LLC,2020-02-29,2022-02-28,What is the term of the license?,The license term is 3 years.,Software License Agreement
Service Level Agreement 12,Cloud Services Ltd & Customer LLC,2020-10-13,2022-10-13,What is the response time for critical issues?,Response time is 4 hours.,Service Level Agreement
Software License Agreement 13,Tech Innovators & Client LLC,2022-03-01,2024-02-29,What is the term of the license?,The license term is 2 years.,Software License Agreement
Service Level Agreement 14,Tech Solutions Inc & Client Corp,2022-06-11,2023-06-11,What is the uptime guarantee?,The uptime guarantee is 99.9%.,Service Level Agreement
Service Level Agreement 15,Cloud Services Ltd & Customer LLC,2022-04-04,2023-04-04,What are the support hours?,Support is available on business days.,Service Level Agreement
Service Level Agreement 16,Hosting Corp & Business Solutions,2021-06-10,2024-06-09,What is the response time for critical issues?,Response time is 1 hour.,Service Level Agreement
Service Level Agreement 17,Cloud Services Ltd & Client Corp,2022-05-28,2023-05-28,What is the uptime guarantee?,The uptime guarantee is 99.5%.,Service Level Agreement
Software License Agreement 18,Code Masters & Client LLC,2022-06-06,2025-06-05,Can the license be transferred?,Transferability: allowed with consent.,Software License Agreement
Software License Agreement 19,Software Inc & Customer Corp,2022-04-26,2023-04-26,What is the term of the license?,The license term is 2 years.,Software License Agreement
Service Level Agreement 20,Hosting Corp & Business Solutions,2020-12-07,2021-12-07,What are the support hours?,Support is available 24/7.,Service Level Agreement
Non-Disclosure Agreement 21,Company A & Solutions LLC,2021-11-29,2023-11-29,What is the confidentiality period?,The confidentiality period is 1 years.,Non-Disclosure Agreement
Software License Agreement 22,Code Masters & Client LLC,2020-01-26,2023-01-25,Can the license be transferred?,Transferability: allowed with consent.,Software License Agreement
Software License Agreement 23,Software Inc & Client LLC,2022-02-15,2025-02-14,What is the license fee?,The license fee is $15000 annually.,Software License Agreement
Service Level Agreement 24,Tech Solutions Inc & Customer LLC,2022-07-30,2024-07-29,What is the uptime guarantee?,The uptime guarantee is 99.9%.,Service Level Agreement
Software License Agreement 25,Code Masters & Business Solutions,2020-11-11,2021-11-11,What is the term of the license?,The license term is 2 years.,Software License Agreement
Software License Agreement 26,Software Inc & Customer Corp,2022-08-09,2025-08-08,What is the term of the license?,The license term is 3 years.,Software License Agreement
Software License Agreement 27,Code Masters & Client LLC,2022-05-09,2025-05-08,What is the license fee?,The license fee is $15000 annually.,Software License Agreement
Software License Agreement 28,Code Masters & Customer Corp,2022-06-29,2024-06-28,What is the term of the license?,The license term is 2 years.,Software License Agreement
Non-Disclosure Agreement 29,Corp Alpha & Solutions LLC,2022-01-24,2023-01-24,What are the penalties for breach?,Penalties include legal action.,Non-Disclosure Agreement
Software License Agreement 30,Tech Innovators & Business Solutions,2022-06-06,2024-06-05,What is the term of the license?,The license term is 1 years.,Software License Agreement
Non-Disclosure Agreement 31,Corp Alpha & Solutions LLC,2020-12-10,2023-12-10,What are the penalties for breach?,Penalties include termination of agreement.,Non-Disclosure Agreement
Software License Agreement 32,Software Inc & Business Solutions,2021-12-10,2023-12-10,What is the term of the license?,The license term is 2 years.,Software License Agreement
Non-Disclosure Agreement 33,Corp Alpha & Company B,2021-07-15,2022-07-15,What are the parties in the Non-Disclosure Agreement 33?,The parties are Corp Alpha & Company B.,Non-Disclosure Agreement
Software License Agreement 34,Software Inc & Business Solutions,2021-08-30,2024-08-29,What is the term of the license?,The license term is 3 years.,Software License Agreement
Service Level Agreement 35,Cloud Services Ltd & Customer LLC,2020-05-27,2023-05-27,What is the response time for critical issues?,Response time is 4 hours.,Service Level Agreement
Software License Agreement 36,Code Masters & Customer Corp,2021-05-07,2024-05-06,What is the term of the license?,The license term is 1 years.,Software License Agreement
Non-Disclosure Agreement 37,Company A & Startup X,2022-03-05,2024-03-04,What are the parties in the Non-Disclosure Agreement 37?,The parties are Company A & Startup X.,Non-Disclosure Agreement
Service Level Agreement 38,Hosting Corp & Business Solutions,2022-06-17,2025-06-16,What are the support hours?,Support is available 9 AM - 5 PM.,Service Level Agreement
Service Level Agreement 39,Cloud Services Ltd & Client Corp,2021-06-22,2022-06-22,What are the support hours?,Support is available on business days.,Service Level Agreement
Service Level Agreement 40,Hosting Corp & Business Solutions,2021-09-14,2023-09-14,What is the uptime guarantee?,The uptime guarantee is 99.9%.,Service Level Agreement
Software License Agreement 41,Code Masters & Business Solutions,2022-04-11,2025-04-10,What is the license fee?,The license fee is $15000 annually.,Software License Agreement
Software License Agreement 42,Tech Innovators & Customer Corp,2021-10-06,2022-10-06,What is the license fee?,The license fee is $15000 annually.,Software License Agreement
Service Level Agreement 43,Tech Solutions Inc & Client Corp,2020-07-24,2023-07-24,What are the support hours?,Support is available 9 AM - 5 PM.,Service Level Agreement
Service Level Agreement 44,Hosting Corp & Client Corp,2020-11-28,2022-11-28,What is the uptime guarantee?,The uptime guarantee is 99.9%.,Service Level Agreement
Software License Agreement 45,Tech Innovators & Client LLC,2021-05-02,2022-05-02,What is the license fee?,The license fee is $5000 annually.,Software License Agreement
Software License Agreement 46,Software Inc & Customer Corp,2020-04-19,2021-04-19,What is the license fee?,The license fee is $10000 annually.,Software License Agreement
Service Level Agreement 47,Cloud Services Ltd & Customer LLC,2022-03-11,2023-03-11,What are the support hours?,Support is available 24/7.,Service Level Agreement
Service Level Agreement 48,Tech Solutions Inc & Client Corp,2020-01-24,2021-01-23,What is the response time for critical issues?,Response time is 24 hours.,Service Level Agreement
Software License Agreement 49,Software Inc & Client LLC,2021-10-31,2022-10-31,What is the license fee?,The license fee is $5000 annually.,Software License Agreement
Non-Disclosure Agreement 50,Corp Alpha & Solutions LLC,2021-01-11,2024-01-11,What are the penalties for breach?,Penalties include termination of agreement.,Non-Disclosure Agreement
Service Level Agreement 51,Hosting Corp & Business Solutions,2022-01-02,2025-01-01,What is the uptime guarantee?,The uptime guarantee is 99.9%.,Service Level Agreement
Software License Agreement 52,Code Masters & Customer Corp,2020-01-05,2022-01-04,What is the license fee?,The license fee is $5000 annually.,Software License Agreement
Non-Disclosure Agreement 53,Corp Alpha & Solutions LLC,2022-07-06,2024-07-05,What are the parties in the Non-Disclosure Agreement 53?,The parties are Corp Alpha & Solutions LLC.,Non-Disclosure Agreement
Software License Agreement 54,Software Inc & Business Solutions,2020-10-15,2021-10-15,Can the license be transferred?,Transferability: not allowed.,Software License Agreement
Software License Agreement 55,Tech Innovators & Customer Corp,2020-12-12,2022-12-12,What is the license fee?,The license fee is $5000 annually.,Software License Agreement
Service Level Agreement 56,Hosting Corp & Client Corp,2021-08-31,2024-08-30,What is the uptime guarantee?,The uptime guarantee is 99.0%.,Service Level Agreement
Non-Disclosure Agreement 57,Corp Alpha & Startup X,2020-04-17,2021-04-17,What is the confidentiality period?,The confidentiality period is 2 years.,Non-Disclosure Agreement
Service Level Agreement 58,Hosting Corp & Business Solutions,2021-12-12,2023-12-12,What is the uptime guarantee?,The uptime guarantee is 99.5%.,Service Level Agreement
Non-Disclosure Agreement 59,Tech Innovators & Company B,2022-07-23,2024-07-22,What are the parties in the Non-Disclosure Agreement 59?,The parties are Tech Innovators & Company B.,Non-Disclosure Agreement
Software License Agreement 60,Code Masters & Client LLC,2020-01-03,2022-01-02,What is the license fee?,The license fee is $10000 annually.,Software License Agreement
Non-Disclosure Agreement 61,Company A & Solutions LLC,2021-06-28,2023-06-28,What is the confidentiality period?,The confidentiality period is 2 years.,Non-Disclosure Agreement
Software License Agreement 62,Tech Innovators & Client LLC,2020-08-03,2023-08-03,Can the license be transferred?,Transferability: not allowed.,Software License Agreement
Service Level Agreement 63,Tech Solutions Inc & Client Corp,2022-08-30,2024-08-29,What is the uptime guarantee?,The uptime guarantee is 99.0%.,Service Level Agreement
Service Level Agreement 64,Hosting Corp & Customer LLC,2021-08-26,2024-08-25,What is the uptime guarantee?,The uptime guarantee is 99.5%.,Service Level Agreement
Non-Disclosure Agreement 65,Company A & Startup X,2020-12-09,2023-12-09,What is the confidentiality period?,The confidentiality period is 1 years.,Non-Disclosure Agreement
Service Level Agreement 66,Hosting Corp & Customer LLC,2020-10-24,2021-10-24,What is the response time for critical issues?,Response time is 1 hour.,Service Level Agreement
Software License Agreement 67,Software Inc & Customer Corp,2020-01-21,2022-01-20,What is the license fee?,The license fee is $15000 annually.,Software License Agreement
Non-Disclosure Agreement 68,Tech Innovators & Startup X,2021-05-06,2024-05-05,What is the confidentiality period?,The confidentiality period is 1 years.,Non-Disclosure Agreement
Non-Disclosure Agreement 69,Tech Innovators & Company B,2021-11-27,2024-11-26,What are the parties in the Non-Disclosure Agreement 69?,The parties are Tech Innovators & Company B.,Non-Disclosure Agreement
Non-Disclosure Agreement 70,Tech Innovators & Company B,2020-01-24,2023-01-23,What are the parties in the Non-Disclosure Agreement 70?,The parties are Tech Innovators & Company B.,Non-Disclosure Agreement
Software License Agreement 71,Tech Innovators & Business Solutions,2021-03-26,2022-03-26,Can the license be transferred?,Transferability: allowed.,Software License Agreement
Non-Disclosure Agreement 72,Tech Innovators & Startup X,2020-12-02,2023-12-02,What are the penalties for breach?,"Penalties include $10,000.",Non-Disclosure Agreement
Service Level Agreement 73,Hosting Corp & Business Solutions,2021-12-06,2024-12-05,What are the support hours?,Support is available 9 AM - 5 PM.,Service Level Agreement
Non-Disclosure Agreement 74,Tech Innovators & Company B,2020-05-16,2023-05-16,What are the parties in the Non-Disclosure Agreement 74?,The parties are Tech Innovators & Company B.,Non-Disclosure Agreement
Non-Disclosure Agreement 75,Corp Alpha & Startup X,2022-02-01,2023-02-01,What is the confidentiality period?,The confidentiality period is 1 years.,Non-Disclosure Agreement
Non-Disclosure Agreement 76,Tech Innovators & Company B,2022-04-12,2025-04-11,What are the parties in the Non-Disclosure Agreement 76?,The parties are Tech Innovators & Company B.,Non-Disclosure Agreement
Service Level Agreement 77,Hosting Corp & Client Corp,2021-08-15,2023-08-15,What are the support hours?,Support is available 24/7.,Service Level Agreement
Service Level Agreement 78,Cloud Services Ltd & Customer LLC,2021-08-29,2022-08-29,What is the uptime guarantee?,The uptime guarantee is 99.0%.,Service Level Agreement
Non-Disclosure Agreement 79,Tech Innovators & Company B,2020-07-09,2021-07-09,What are the penalties for breach?,Penalties include termination of agreement.,Non-Disclosure Agreement
Software License Agreement 80,Software Inc & Client LLC,2022-05-23,2025-05-22,Can the license be transferred?,Transferability: allowed.,Software License Agreement
Software License Agreement 81,Code Masters & Business Solutions,2020-09-08,2021-09-08,What is the term of the license?,The license term is 3 years.,Software License Agreement
Service Level Agreement 82,Hosting Corp & Customer LLC,2020-05-27,2023-05-27,What are the support hours?,Support is available 24/7.,Service Level Agreement
Non-Disclosure Agreement 83,Tech Innovators & Startup X,2020-10-28,2021-10-28,What are the parties in the Non-Disclosure Agreement 83?,The parties are Tech Innovators & Startup X.,Non-Disclosure Agreement
Non-Disclosure Agreement 84,Tech Innovators & Company B,2020-09-01,2023-09-01,What are the penalties for breach?,"Penalties include $10,000.",Non-Disclosure Agreement
Non-Disclosure Agreement 85,Corp Alpha & Solutions LLC,2022-05-12,2025-05-11,What is the confidentiality period?,The confidentiality period is 3 years.,Non-Disclosure Agreement
Non-Disclosure Agreement 86,Tech Innovators & Startup X,2021-05-08,2023-05-08,What are the parties in the Non-Disclosure Agreement 86?,The parties are Tech Innovators & Startup X.,Non-Disclosure Agreement
Service Level Agreement 87,Hosting Corp & Client Corp,2020-01-19,2022-01-18,What is the response time for critical issues?,Response time is 4 hours.,Service Level Agreement
Non-Disclosure Agreement 88,Company A & Company B,2020-07-04,2021-07-04,What is the confidentiality period?,The confidentiality period is 3 years.,Non-Disclosure Agreement
Service Level Agreement 89,Hosting Corp & Business Solutions,2022-04-12,2025-04-11,What are the support hours?,Support is available 9 AM - 5 PM.,Service Level Agreement
Software License Agreement 90,Tech Innovators & Business Solutions,2022-01-26,2023-01-26,What is the term of the license?,The license term is 3 years.,Software License Agreement
Software License Agreement 91,Code Masters & Customer Corp,2020-04-15,2023-04-15,Can the license be transferred?,Transferability: allowed with consent.,Software License Agreement
Non-Disclosure Agreement 92,Tech Innovators & Startup X,2020-07-22,2022-07-22,What is the confidentiality period?,The confidentiality period is 1 years.,Non-Disclosure Agreement
Service Level Agreement 93,Hosting Corp & Client Corp,2020-07-07,2023-07-07,What are the support hours?,Support is available on business days.,Service Level Agreement
Non-Disclosure Agreement 94,Corp Alpha & Startup X,2022-07-21,2025-07-20,What is the confidentiality period?,The confidentiality period is 3 years.,Non-Disclosure Agreement
Software License Agreement 95,Software Inc & Customer Corp,2021-12-13,2023-12-13,What is the license fee?,The license fee is $15000 annually.,Software License Agreement
Software License Agreement 96,Software Inc & Client LLC,2020-02-09,2022-02-08,Can the license be transferred?,Transferability: not allowed.,Software License Agreement
Software License Agreement 97,Software Inc & Client LLC,2021-05-20,2024-05-19,Can the license be transferred?,Transferability: allowed with consent.,Software License Agreement
Service Level Agreement 98,Cloud Services Ltd & Business Solutions,2020-12-24,2022-12-24,What is the response time for critical issues?,Response time is 1 hour.,Service Level Agreement
Software License Agreement 99,Tech Innovators & Customer Corp,2022-09-27,2024-09-26,What is the term of the license?,The license term is 2 years.,Software License Agreement
Non-Disclosure Agreement 100,Company A & Solutions LLC,2020-09-15,2021-09-15,What is the confidentiality period?,The confidentiality period is 1 years.,Non-Disclosure Agreement
Software License Agreement 101,Code Masters & Business Solutions,2022-03-09,2025-03-08,What is the term of the license?,The license term is 3 years.,Software License Agreement
Non-Disclosure Agreement 102,Company A & Solutions LLC,2020-11-11,2021-11-11,What are the parties in the Non-Disclosure Agreement 102?,The parties are Company A & Solutions LLC.,Non-Disclosure Agreement
Service Level Agreement 103,Cloud Services Ltd & Customer LLC,2022-03-10,2025-03-09,What is the response time for critical issues?,Response time is 4 hours.,Service Level Agreement
Software License Agreement 104,Code Masters & Client LLC,2022-02-19,2024-02-19,Can the license be transferred?,Transferability: allowed.,Software License Agreement
Service Level Agreement 105,Tech Solutions Inc & Business Solutions,2022-07-11,2024-07-10,What are the support hours?,Support is available on business days.,Service Level Agreement
Non-Disclosure Agreement 106,Company A & Startup X,2020-05-13,2021-05-13,What is the confidentiality period?,The confidentiality period is 1 years.,Non-Disclosure Agreement
Software License Agreement 107,Software Inc & Customer Corp,2021-04-07,2023-04-07,What is the license fee?,The license fee is $10000 annually.,Software License Agreement
Non-Disclosure Agreement 108,Corp Alpha & Startup X,2022-09-18,2024-09-17,What are the parties in the Non-Disclosure Agreement 108?,The parties are Corp Alpha & Startup X.,Non-Disclosure Agreement
Software License Agreement 109,Tech Innovators & Customer Corp,2020-08-25,2021-08-25,What is the term of the license?,The license term is 1 years.,Software License Agreement
Software License Agreement 110,Tech Innovators & Customer Corp,2021-11-17,2023-11-17,What is the license fee?,The license fee is $5000 annually.,Software License Agreement
Software License Agreement 111,Software Inc & Business Solutions,2022-06-10,2024-06-09,Can the license be transferred?,Transferability: allowed.,Software License Agreement
Software License Agreement 112,Code Masters & Customer Corp,2021-06-27,2024-06-26,What is the term of the license?,The license term is 1 years.,Software License Agreement
Service Level Agreement 113,Cloud Services Ltd & Customer LLC,2021-04-12,2023-04-12,What is the response time for critical issues?,Response time is 4 hours.,Service Level Agreement
Software License Agreement 114,Software Inc & Client LLC,2021-07-02,2022-07-02,Can the license be transferred?,Transferability: allowed with consent.,Software License Agreement
Non-Disclosure Agreement 115,Company A & Startup X,2020-10-19,2021-10-19,What are the penalties for breach?,"Penalties include $10,000.",Non-Disclosure Agreement
Software License Agreement 116,Software Inc & Customer Corp,2020-10-23,2023-10-23,What is the license fee?,The license fee is $5000 annually.,Software License Agreement
Service Level Agreement 117,Hosting Corp & Customer LLC,2021-01-21,2023-01-21,What are the support hours?,Support is available on business days.,Service Level Agreement
Non-Disclosure Agreement 118,Tech Innovators & Startup X,2022-07-07,2024-07-06,What are the penalties for breach?,Penalties include termination of agreement.,Non-Disclosure Agreement
Non-Disclosure Agreement 119,Corp Alpha & Company B,2021-06-17,2024-06-16,What are the penalties for breach?,Penalties include legal action.,Non-Disclosure Agreement
Service Level Agreement 120,Hosting Corp & Business Solutions,2020-09-26,2021-09-26,What are the support hours?,Support is available 9 AM - 5 PM.,Service Level Agreement
Software License Agreement 121,Code Masters & Customer Corp,2020-12-21,2023-12-21,Can the license be transferred?,Transferability: allowed with consent.,Software License Agreement
Non-Disclosure Agreement 122,Company A & Solutions LLC,2020-04-14,2022-04-14,What are the penalties for breach?,Penalties include termination of agreement.,Non-Disclosure Agreement
Software License Agreement 123,Tech Innovators & Customer Corp,2020-08-25,2021-08-25,What is the term of the license?,The license term is 2 years.,Software License Agreement
Non-Disclosure Agreement 124,Tech Innovators & Solutions LLC,2021-01-17,2023-01-17,What are the parties in the Non-Disclosure Agreement 124?,The parties are Tech Innovators & Solutions LLC.,Non-Disclosure Agreement
Non-Disclosure Agreement 125,Tech Innovators & Company B,2022-03-23,2024-03-22,What are the penalties for breach?,Penalties include legal action.,Non-Disclosure Agreement
Software License Agreement 126,Tech Innovators & Business Solutions,2021-11-04,2022-11-04,What is the license fee?,The license fee is $15000 annually.,Software License Agreement
Software License Agreement 127,Software Inc & Business Solutions,2021-07-04,2024-07-03,Can the license be transferred?,Transferability: not allowed.,Software License Agreement
Software License Agreement 128,Code Masters & Client LLC,2020-03-30,2023-03-30,Can the license be transferred?,Transferability: allowed.,Software License Agreement
Software License Agreement 129,Tech Innovators & Business Solutions,2020-01-19,2022-01-18,What is the term of the license?,The license term is 2 years.,Software License Agreement
Service Level Agreement 130,Cloud Services Ltd & Business Solutions,2022-07-18,2024-07-17,What are the support hours?,Support is available 24/7.,Service Level Agreement
Non-Disclosure Agreement 131,Tech Innovators & Solutions LLC,2022-01-09,2023-01-09,What are the penalties for breach?,Penalties include legal action.,Non-Disclosure Agreement
Service Level Agreement 132,Hosting Corp & Client Corp,2020-09-05,2022-09-05,What are the support hours?,Support is available 9 AM - 5 PM.,Service Level Agreement
Non-Disclosure Agreement 133,Company A & Company B,2020-12-02,2023-12-02,What is the confidentiality period?,The confidentiality period is 3 years.,Non-Disclosure Agreement
Non-Disclosure Agreement 134,Company A & Startup X,2021-04-21,2023-04-21,What are the penalties for breach?,Penalties include legal action.,Non-Disclosure Agreement
Software License Agreement 135,Software Inc & Customer Corp,2020-05-17,2022-05-17,What is the term of the license?,The license term is 1 years.,Software License Agreement
Software License Agreement 136,Software Inc & Client LLC,2021-01-26,2024-01-26,What is the term of the license?,The license term is 1 years.,Software License Agreement
Service Level Agreement 137,Cloud Services Ltd & Customer LLC,2021-11-17,2022-11-17,What are the support hours?,Support is available on business days.,Service Level Agreement
Service Level Agreement 138,Cloud Services Ltd & Customer LLC,2020-10-20,2022-10-20,What is the response time for critical issues?,Response time is 4 hours.,Service Level Agreement
Software License Agreement 139,Tech Innovators & Customer Corp,2020-08-25,2023-08-25,What is the term of the license?,The license term is 3 years.,Software License Agreement
Non-Disclosure Agreement 140,Corp Alpha & Company B,2021-07-18,2023-07-18,What are the parties in the Non-Disclosure Agreement 140?,The parties are Corp Alpha & Company B.,Non-Disclosure Agreement
Software License Agreement 141,Tech Innovators & Customer Corp,2020-10-07,2021-10-07,What is the license fee?,The license fee is $10000 annually.,Software License Agreement
Non-Disclosure Agreement 142,Tech Innovators & Startup X,2020-12-08,2023-12-08,What are the parties in the Non-Disclosure Agreement 142?,The parties are Tech Innovators & Startup X.,Non-Disclosure Agreement
Service Level Agreement 143,Hosting Corp & Client Corp,2021-05-03,2022-05-03,What is the response time for critical issues?,Response time is 1 hour.,Service Level Agreement
Software License Agreement 144,Code Masters & Business Solutions,2022-06-12,2024-06-11,What is the license fee?,The license fee is $15000 annually.,Software License Agreement
